PhD,Postdoctoral,Master,Germany,Canada,Australia,USA,Switzerland
"🇨🇭 PhD Position, ETH Switzerland

☑️ ","🇨🇦 Postdoctoral Research Fellow Pharmaceutical Sciences - Academic Position - Research - Teaching - UBC - Vancouver - Canada

","🇺🇸 MSc Positions at the WATER RESOURCES LAB,  Central Michigan University

👨‍🏫 Dr. Roderick Lammers:

I am looking for undergraduate and M.S. students to join our lab. There is the potential to work on a variety of projects related to urban stormwater, stream restoration, water quality, and flood issues see Research for more information). I primarily use custom and off-the-shelf computer models to explore these topics. Experience with one or more of the following tools is ideal, but not required:

Hydrologic (e.g., SWMM) and hydraulic (e.g., HEC-RAS) models Geographic Information Systems (GIS)

Coding/scripting (R, Python, VBA)

Basic surveying

Prospective masters students will apply to CMU's Master's of Science in Engineering program. 

Please email me (","🇩🇪 Research Associate Position, University of Konstanz, Germany

☑️ Computer Sciences, Data Analysis
","🇨🇦 PhD/PostDoc Positions, Laval University Cancer Research Center, Canada

☑️ Chromatin Biology and Molecular Epigenetics 

Join 👉 ","🇦🇺 PhD Positions, University of Technology Sydney, Australia 

☑️ mixed-signal IC and/or RFIC/MMIC design, microwave engineering for satellite and radar applications 

Join 👉 ","🇺🇸 Job Position, USA

☑️ Power Electrical Engineering

Join 👉 ","🇨🇭 PhD Position, ETH Switzerland

☑️ "
"🇺🇸 PhD Student Position in Eco-Immunology – University of Arkansas

The DuRant Lab at the University of Arkansas is seeking to fill a Ph. D. position focused on the importance of parental effects in shaping immune responses and disease dynamics in birds.

Additional information about the DuRant Lab and the University of Arkansas can be found at ","🇺🇸 Postdoctoral Position at National Cancer Institute, 
National Institutes of Health, USA

To apply: Please: send your CV and cover letter by email to ","🇦🇪 Structural Control Research Associate Position, American University of Sharjah, UAE

☑️ Qualifications: PhD or Master in Structural engineering, Mechanical engineering, Electrical engineering, Control Systems  

👨‍🏫 Dr. Mohammad AlHamaydeh:
(Professor of Structural/Earthquake Engineering at American University of Sharjah)


I am pleased to announce the available position of Research Associate in the area of structural control at the American University of Sharjah, United Arab Emirates. Qualified applicants will be considered for immediate hiring, no later than May 31, 2023.

Please do not hesitate to contact me at: ","🇩🇪 Research Associate Position, TU Dresden, Germany

☑️ Mathematics and Computer Sciences

📊 QS ranking: 200

Join 👉 ","🇨🇦 PhD position, Laurentian University, Canada

☑️ Control and Robotics, Autonomous Vehicle 

PhD Student Position in Autonomous Vehicle for AI-Based Path Planning and Path Prediction
 
An exciting opportunity is immediately available for the highly motivated candidates in my research group. Candidate with research experience and background in machine learning, Autonomous Vehicle and Path Planning are preferred. This project will
investigate the application of AI to predict the Autonomous Vehicle path and construct collision avoidance algorithm. If you are interested in joining and you are qualified candidate (background in Mechanical or Mechatronics Engineering), please apply by sending your CV, transcripts and a cover letter, clearly describing your relevant experience to the advertised position to ","🇦🇺 PhD Positions, University of Sydney, Australia

☑️ engineering and computer science 

Join 👉 ","🇺🇸 Postdoc positions, Arizona State University, USA

👇👇👇
My lab has 3 postdoctoral associate openings to fill. 
Postdoc Position #1: nanostructure and nanodevice fabrication
","🇨🇭Two PhD Positions in Dairy Nutrition, ETH, Switzerland 


"
"🇺🇸 PhD Position, The University of Texas at Dallas - Department of Electrical & Computer Engineering 

👇👇👇
I have several funded Ph.D. positions for Spring/Fall 2023.  If you are interested in joining, and working on MachineLearning, and its applications such as speech-synthesis, emotional intelligence, voice conversion, tts , please email me your CV, academic transcripts, and exam scores (TOEFL and GRE) at ","🇨🇦 Postdoc Position, UBC, Canada

☑️ Chemical engineering

Still accepting applications 📨 Postdoctoral Fellow in Chemical Engineering - apply by 26 May 2023

","🇺🇸 PhD/Master positions, Mississippi State University, USA

☑️ Natural wood preservative and composite wood products

👩‍🏫 Dr. Laya Khademibami:
(Assistant Research Professor at Mississippi State University)

""Ph.D. and Master Positions Opening in Department of Sustainable Bioproducts at Mississippi State University:
I am looking for Ph.D. and Master students for Fall 2023 to do research on natural wood preservative and composite wood products. Those applicants who are interested can directly email me their CV, transcripts, and English test scores (TOEFL or IELTS), at ","🇩🇪 PhD Position, Heidelberg University, Germany 

☑️ International and Development Politics 

Join 👉 ","🇨🇦 PhD Position, University of Windsor, Canada

☑️ Psychology, Industrial Engineering, Cognitive Science, Kinesiology

I have several funded ","🇬🇸 Postdoc Position, Monash University, Australia

☑️ Microbiology, Genomics 

👩‍🏫 Dr. Francesca Short:

I am recruiting a postdoctoral researcher to join my lab at Monash Micro. 2-year position working using functional genomics + mol micro to understand how Klebsiella pneumoniae controls its virulence. Email me for more info :)
","🇺🇸 PhD position, University of Rhode Island, USA

☑️ cyber-physical systems and Internet-of-things, such as electric power grids

One Ph.D. Position Available at the University of Rhode Island (Fall 2023)

I am looking for Ph.D. students (1 position at this moment) as research or teaching assistants to join my group. We will work on interdisciplinary projects to enhance the resiliency of today’s cyber-physical systems and Internet-of-things, such as electric power grids. Students with interests and experiences in areas related to system/network security and reliability, computer networks, and power systems are encouraged to apply. The positions will remain open until filled by qualified candidates.

Qualification:
* B.S. or M.S. degree in computer engineering, electrical engineering, computer science, or closely related areas.
* Strong interest in cybersecurity, cyber-physical systems, and machine learning
* Strong programming skills
• (plus not required) experiences in software-defined networking or P4
• (plus not required) experiences in generative adversarial networks or deep reinforcement learning

Contact information
Please send your C.V., GRE (and TOFE or IELTS scores for foreign students) and transcript or any other questions to Dr. Hui Lin at ","🇨🇭 PhD Position, University of Neuchâtel, Switzerland

☑️ Psychology 

Join 👉 "
"🇺🇸 PhD Position, Department of Civil and Environmental Engineering, University of Hawaii

☑️ Geotechnical engineering

Join 👉 ","🇨🇭Postdoctoral Position at EPFL: Nanophotonic Biosensors and Bioimaging for Cancer Research

The successful candidate is expected to hold a PhD degree in Photonics, Electrical Engineering, Bioengineering, Biophysics or a closely related discipline with outstanding academic record indicated by publications in peer-reviewed scientific journals and international conferences

Group website: ","🇺🇸 Funded Master position, Oregon State University, USA

☑️ conservation social  
science field (e.g. psychology, communications studies, anthropology, geography, sociology,  
political science, human dimensions of natural resources) 

👩‍🏫 Dr. Megan S. Jones:

Funded MS opportunity! Position open in my lab to do  a social science master's project looking at equity and inclusion narratives in conservation. 2 years of funding via collabs with USFWS and OSU's MANRRS and SACNAS chapters. Check it out: 
","🇩🇪 Ph.D. Positions---in Numerical Analysis, Technical University of Munich & University of Tübingen, Munich, Tübingen, Germany

Basic Requirements:
master's degree in mathematics, background in numerical analysis, experience in numerical programming with Python or Matlab or Julia or C/C++. 

Deadline: 30 Jan 2023.
The other requirement and procedures are mentioned briefly in the advertisement (","🇨🇦 MSc Position, University of Northern British Columbia, Canada

☑️ mining geotechnical engineering

Join 👉 ","🇭🇲 Fully Funded PhD Positions, Western Sydney University, Australia

☑️ Fields for Project 1:
Civil Engineering
Material Engineering
Construction Management

☑️ Fields for Project 2:
Electrical Engineering
Electronic Engineering

⏰ Deadline: 11.59 pm, 30 June 2023 (Australian Eastern Standard Time)

Details:
","🇺🇸 PhD Position, Arkansas State University, USA

☑️ Environmental sciences and or Molecular biosciences 

Join 👉 ","🇨🇭PhD Position, Department of Organic Chemistry, University of Geneva, Switzerland

☑️ Chemical Biology of Ciliary Signalling 

"
"🇨🇦 PhD/PostDoc Positions, Laval University Cancer Research Center, Canada

☑️ Chromatin Biology and Molecular Epigenetics 

Join 👉 ","🇺🇲 Postdoc Position, University of Louisville, USA

☑️ Materials Science, Mechanical engineering

👨‍🏫 Dr. Yanyu Chen:
(Assistant Professor at University of Louisville)


🌟 Seeking Postdoctoral Researcher: High Velocity Impact of Architected Materials 🌟

We are seeking a highly motivated and talented individual with a Ph.D. in materials science, mechanical engineering, or a related field. In this position, you will have the opportunity to investigate the behavior of architected materials under high velocity impacts, exploring their exceptional properties and developing insights into their response mechanisms.

Key Responsibilities:
🔬 Conduct experimental investigations using advanced testing techniques
🖥️ Develop numerical models and simulations to understand impact dynamics
🔧 Collaborate with a multidisciplinary team to design and fabricate architected materials

Requirements:
✅ Ph.D. in materials science, mechanical engineering, or related field
✅ Strong background in mechanics of materials and experimental characterization techniques
✅ Experience in numerical modeling and simulation of dynamic loading

Duration and Remuneration:
This is a full-time position with an initial appointment of one year, renewable based on performance and funding availability. The salary will be competitive and commensurate with qualifications and experience.

To apply, please send your:
📩 Cover letter highlighting research interests and relevant experience
📄 Curriculum vitae (CV) including a list of publications
📞 Contact information for at least two professional references

For further information or inquiries, please feel free to reach out (","🇨🇦 Postdoc and Graduate Students (Master’s and/or Ph.D. levels) Positions, University of Lethbridge, Canada

☑️ Intersection of AI and Neuroscience

Interested applicants must email Dr. Mohajerani (","🇩🇪 PhD Position in microwave engineering at University of Stuttgart, Germany

Join 👉 ","🇨🇦 PhD and MSc Positions on “Affective & Social Computing and Interactive AI Systems” for the upcoming Fall Semester in SIAT, Simon Fraser University located in British Columbia, Canada

Deadline: February 1st 2023. 


Join 👉 ","🇭🇲 PhD Position, Edith Cowan University, Australia

☑️ Fields:

- Nutrition or Dietetics
- Implementation Science or Health Services
- Epidemiology or Clinical Trialing
- Exercise Science
- Behavioral Psychology
- Public Health
- Nursing
- Medicine

Details:
","🇺🇸 PhD Positions, Penn State University, USA

Hiring multiple PhD students (fully funded) to join my group at Penn State University.

Topics: fair resource allocation, matching theory, algorithmic game theory, and multiagent systems.

Details: ","🇨🇭🇫🇷 PhD position, University of Fribourg, UBFC, Switzerland - France

☑️ control engineering/bioengineering and an interest in neuroscience, or in neuroscience with a strong interest in computational methods (e.g., computational neuroscience, psychophysical data modeling)

👨‍🏫 Dr. Jean-Julien Aucouturier:

[PhD Position !] the RaschLab
 (Fribourg, CH) and we (FemtoSt
 in Besançon, FR) are advertising an exciting new PhD position about the application of closed-loop control engineering techniques to the analysis of human auditory EEG during sleep 
"
"🇨🇭🇮🇹 PhD and PostDoc Positions, University of Lausanne and Free University of Bozen-Bolzano

☑️ Alpine bedload transport trends under rapid climate change  

Join 👉 ","🇭🇲 Postdoc Position, Western Sydney University

☑️ Cognitive Neuroscience

Join us! We're now hiring a Postdoctoral Research Fellow in Cognitive Neuroscience to investigate the neural processes of human visual ","🇺🇸  Two Funded Master’s Positions in Ocean, Coastal, and Earth Science at the University of Texas Rio Grande Valley, United States

Due date: 01.08.2023

Details: ","🇩🇪 PhD Position, Wandelbots, Dresden, Germany

☑️ Next generation of remote & robot-to-robot teaching, Mathematics, Computer Sciences, Machine Learning, etc

","🇨🇦 Phd Position, Brock University, Canada

☑️ Small-scale fisheries

Join 👉 ","🇭🇲 PhD Position, University of Western Australia

☑️ Microbiology, Biochemistry, Molecular Biology

-----------------------
👈 برای مشاهده سایر پوزیشن‌ها و بورسیه‌ها در سرتاسر دنیا، آموزش اپلای و همچنین سفارش خدمات به سایت آذراپلای مراجعه کنید.

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ","🇺🇸 PhD position, North Eastern University, USA

I'm looking for two PhD students starting in 2023 Fall.
Position 1 in the area of experimental electro-chemo-mechanics. Potential projects: 1) non-destructive battery assessment, 2) optical methods for characterizing battery degradation.
Position 2 in the area of computational modeling and scientific machine learning. Potential projects: 1) interfacial failure of solid-state batteries, 2) image-based rapid assessment of spent batteries. 
Both positions will work for our upcoming Center for Battery Sustainability, which is expected to start on April 1st, 2023. 
How to apply: please send your CV/resume with a short research statement/plan to me (","🇨🇭PhD Position, University of Geneva, Switzerland

☑️ Earth science, Geochemistry

"
"🇨🇦 PhD position, Laurentian University, Canada

☑️ Control and Robotics, Autonomous Vehicle 

PhD Student Position in Autonomous Vehicle for AI-Based Path Planning and Path Prediction
 
An exciting opportunity is immediately available for the highly motivated candidates in my research group. Candidate with research experience and background in machine learning, Autonomous Vehicle and Path Planning are preferred. This project will
investigate the application of AI to predict the Autonomous Vehicle path and construct collision avoidance algorithm. If you are interested in joining and you are qualified candidate (background in Mechanical or Mechatronics Engineering), please apply by sending your CV, transcripts and a cover letter, clearly describing your relevant experience to the advertised position to ","🇺🇸 Postdoc position, Southern Methodist University, US

☑️ Transportation engineering, Electrical engineering, Computer Science

👨‍🏫 Dr. Mohammad Khodayar:

We are seeking to hire a Postdoctoral Researcher in Transportation Electrification. The successful candidate will have the following key responsibilities: leadership role in the project, publishing high-quality research papers in reputable journals, and contributing to the development of research grant proposals.
Key Qualifications:
- Possession of a Ph.D. in a relevant field, such as transportation engineering, electrical engineering, computer science, or a related discipline
- Proficiency in machine learning, optimization, network modeling, and simulation.
- Demonstrated excellence in research, as evidenced by a strong publication record
- Effective collaboration skills with the ability to work in an interdisciplinary team
- Outstanding written and verbal communication skills
To apply, interested candidates are requested to send their CVs, using the subject line ""Postdoc Position - Transportation Electrification"" to ","🇨🇦 PhD & MASc Graduate Student Positions, McMaster University, Canada 

☑️ Mechanical, Civil, Computer Science, Electrical, Chemical, 
Engineering Physics in ""Thermal Energy Mapping for Decarbonization of Heating"" 


The McMaster Institute for Energy Studies seeks high caliber students interested 
in Masters or PhD studies in the area of Thermal Energy Mapping for 
Decarbonization of Heating. The goal is to help cities and communities identify 
local climate action opportunities to decarbonize heating with existing local 
energy resources in support of the UN Sustainable Development Goals. The 
applicant will join a multi-disciplinary research team that uses data analytics 
and visualization techniques to identify community thermal energy sources 
relative to community heating loads. A systems-level approach to integrate 
thermal generation, storage, distribution and consumption at the community level 
will then be developed to significantly reduces greenhouse gas (GHG) emissions. 

Research Topics:
• Development of framework to collect, store and visualize a thermal 
energy resource inventory
• Collection and disaggregation of heating loads and thermal resources 
from various data sources
• GIS Mapping and thermal energy resource comparison to current and 
planned/forecasting community heat loads
• Collection of empirical data for model validation and data base 
populating
• Development of methodologies to measure local residual heat energy, bio 
energy and hydrogen resources

Employment Equity Statement

In keeping with its Statement on Building an Inclusive Community with a Shared 
Purpose, McMaster University strives to embody the values of respect, 
collaboration and diversity, and has a strong commitment to employment equity. 
The diversity of our workforce is at the core of our innovation and creativity 
and strengthens our research and teaching excellence. The University seeks 
qualified candidates who share our commitment to equity, diversity and 
inclusion. While all qualified candidates are invited to apply, we particularly 
welcome applications from women, persons with disabilities, First Nations, Métis 
and Inuit peoples, members of visible minorities, and LGBTQ+ persons.

Skillsets to be developed: 
• Data visualisation techniques
• Data base development and population
• Graphical Information System (GIS) use
• Heating load disaggregation techniques
• Data analysis techniques
• Integrated energy system modeling
• Computational Fluid Dynamics
• Thermal energy measurement system design and data acquisition
• Machine learning forecasting techniques

Minimum Qualifications: 
• For PhD positions: MASc or equivalent in a related engineering 
discipline (Mechanical, Civil, Computer Science, Electrical, Chemical, 
Engineering Physics)
• For Masters positions: B.Eng or equivalent in a related engineering 
discipline (Mechanical, Civil, Computer Science, Electrical, Chemical, 
Engineering Physics)
• Excellent verbal and written communications skills 
• Ability to work independently and collaboratively with a large team
• Excellent interpersonal skills
• Strong analytical skills

Assets:
• Previous experience in programming languages (e.g. C++,  Java, C#, 
Matlab, Python)
• Experience in any of the following: Thermofluids, Energy Systems, HVAC 
Load Prediction, Building Energy Modeling, GIS, Database analysis, Machine 
learning and AI applied to Energy Systems, or other Data Analytics Studies.
• Publication(s) in relevant journals

How To Apply 
To apply for a graduate studies position, please submit your application 
(Resume/CV, transcripts, cover letter and related information) to Professor 
James Cotton at ","🇩🇪 PhD Position, Bonn Graduate School of Immunosciences and Infection, Germany 

☑️ Cancer Immunology 

","🇨🇦 MSc Position, Wilfrid Laurie University, Canada

☑️ Biology, Entomology, Ecology, Evolution, Zoology, Genetics and related fields

Join 👉 ","🇭🇲 PhD Position, RMIT University, Australia

☑️ Environmental or Chemical Engineering

👨‍🏫 Dr. Biplob Pramanik:
(Senior Lecturer in Civil Engineering at RMIT University)
 
 Exciting PhD scholarship available in Melbourne, Australia🎓💼
A 3.5-year PhD scholarship is available for a project at RMIT’s School of Engineering. The project is a collaboration between CSIRO (Australia’s National Research Agency) and RMIT University. The main theme of the project includes life cycle assessment (LCA), bioplastics, microplastics, and waste management. 

This scholarship is part of CSIRO’s “Ending Plastic Waste Mission”, which aimed to reduce 80% of plastic waste entering the Australian Environment by 2030. As a CSIRO’s collaborator, you will contribute towards Australia’s path towards sustainability and circular economy. 

🌟The fully-funded scholarship includes the following benefits:
✅RMIT Tuition Fee Offset Scholarship → Full Tuition Fee Waiver 💸
✅RMIT PhD Scholarship → $33,826/year stipend (no tax)💸
✅Funding to support domestic and international travels 💸
✅Single Oversea Student Health Cover (international students only) 💸
✅Professional and career development in research 
✅Make real-world impacts in waste management and plastic industries 
📚Eligibility criteria: 
✅Domestic and international candidates welcomed
✅Meet RMIT’s PhD entry requirements (English proficiency + Bachelor/Master degree in related fields, preferable Environmental or Chemical Engineering) 
✅Be enrolling full-time
✅Locate in Melbourne
✅Experience in LCA software is preferable but not mandatory
💼For more details, you can contacts me (","🇺🇸 PhD Positions, University of Memphis, USA

☑️ plasma physics research for materials processing 

Join 👉 ","🇨🇭PhD Position, EPFL, Switzerland

☑️ Fields:

- Environmental Sciences
- Geosciences
- Ecology
- Aquatic Sciences
- Hydrology
- Limnology
- Biogeochemistry
- Environmental Chemistry
- Environmental Engineering

Details:

"
"🇦🇹 PhD Position, BOKU-University of Natural Resources and Life Sciences, Vienna, Austria 

☑️ large-scale 3D printing of wall systems made renewable materials

Join 👉 ","🇺🇸 Postdoc position, Mayo Clinic College of Medicine & Science, US

☑️ AI, Machine learning

👨‍🏫 Dr. Hojjat Salehinejad:
(Assistant Professor at Mayo Clinic College of Medicine & Science)

Open Postdoctoral Fellowship position in Artificial Intelligence and Surgical Outcomes and Oncology at Mayo Clinic. Position description and application instructions.

","🇺🇲 Master Position, University of Idaho, USA

☑️ Wildlife Science, Ecology, Biology

Details:

","🇩🇪 PhD position, Karlsruhe Institute of Technology, Germany

☑️ physics, materials science, electrical engineering, chemistry on Perovskites Photovoltaics

👨‍🏫 Dr. Ulrich W. Paetzold:

Open PhD Positions: Perovskites Photovoltaics! 

We have open PhD positions! You will be part of our endeavor to develope next generation perovskite photovoltaics and perovskite-based tandem photovoltaics. We are looking for highly motivated and excellent candidates with a strong personal drive for scientific research and international collaboration. Looking forward to your application to join our international team! 

Join 👉 ","🇨🇦 Three PhD Positions, Carleton University or University of Toronto, Canada

☑️ comfort, energy as carbon performance of multi-unit residential buildings

Join 👉 ","🇭🇲 PhD Positions, QUT, Australia

☑️ Design research

","🇺🇸 PhD Position, University of New Hampshire, USA 

☑️ Civil or Ocean Engineering 

Join 👉 ","🇨🇭PhD Position, EPFL, Switzerland

☑️ Quantum photonics

👩‍🏫 Dr. Cristina Benea-Chelmus:
(Tenure Track Assistant Professor at EPFL)


We have an open PhD position in quantum photonics.

Shares appreciated :)

Looking forward to your application! 😎 a few reasons to consider us 👇
"
"🇨🇭 PhD Position in Precision Proteomics Center at the Swiss Institute of Allergy and Asthma Research (SIAF) in Davos  

☑️ Proteomics, large datasets and immunology

Join 👉 ","🇺🇲 Postdoc/PhD Positions, Oregon State University, US

☑️ Chemical, Biological, and Environmental Engineering

👨‍🏫 Dr. Yuanzhe Liang:

Exciting news! Multiple Ph.D. Student and Postdoctoral Research Associate opportunities in the School of Chemical, Biological, and Environmental Engineering at Oregon State University. If you’re interested in learning more, please feel free to check out our group website (","🇨🇦 Master/ PhD Positions, Laval University, Canda

☑️ Biochemistry

Details:
","🇩🇪 PhD/Postdoc positions, Karlsruhe Institute of Technology, Germany 

☑️ computer science, software engineering, data science or similar

👩‍🏫 Dr. Sanja Lazarova-Molnar:
(Professor at Karlsruhe Institute of Technology (KIT) & Professor at University of Southern Denmark (SDU); Modelling, Simulation and Data Analytics; Energy Systems)

 PhDs/PostDocs for my research group Systems, Data, Simulation & Energy (SYDSEN) and in relation to the ONE4ALL Project  at the Karlsruhe Institute of Technology (KIT). 
Positions are open until filled.
Please share.

","🇨🇦 PhD/MS positions, University of Manitoba, Canada

☑️ Neuroscience 

Funded Graduate Student Positions at the University of Manitoba
Multiple graduate student positions (M.Sc., Ph.D.) are available in the laboratory of Dr. Tabrez Siddiqui at the University of Manitoba. The Siddiqui lab’s multidisciplinary research program encompasses the molecular, systems and behavioural branches of neuroscience to investigate neuronal circuit organization, plasticity and network integration. Our goals are to generate transformative knowledge on the molecular mechanisms of synapse development and function in both the developing and mature brain, provide conceptual advances in understanding the mechanisms governing enduring changes in synaptic properties (plasticity) that underlie cognitive function and associative learning, and determine how synapses are specified in the mammalian brain to provide the framework for understanding the molecular logic of circuit organization and associated behaviours. The Siddiqui lab is also actively pursuing translational goals in uncovering synaptic regulatory mechanisms and targets in neurodevelopmental and psychiatric disorders such as autism and schizophrenia.

Eligibility Requirements

Excellent academic standing
Strong work ethic and interest in discovery science
Experience or interest in using animal models
Research experience is an asset
Excellent written and oral communication skills
The positions are fully funded with standard stipends commensurate with the University of Manitoba guidelines and Departmental bylaws. Successful students will be admitted to the Physiology graduate program, but may be considered for the Biomedical Engineering program.

This search will close on January 20, 2023.

Please send the following the documents to Dr. Siddiqui by email

Cover letter explaining your background, interests, and training, and why you will be a good fit for the Siddiqui lab research program.
CV
Transcripts
We thank all applicants for their interest. However, however only those candidates selected for interviews will be contacted.

Rady Faculty of Health Sciences
Max Rady College of Medicine
Department of Physiology and Pathophysiology
Neuroscience Research Program
Kleysen Institute for Advanced Medicine
Health Sciences Centre
SR422-710 William Avenue
Winnipeg, MB R3E 0Z3
Phone: 1.204.318.2564



Email: ","🇭🇲 PhD Position, University of Adelaide, Australia

☑️ Wheat developmental biology

","🇺🇸 MS position, University of Texas Tyler, USA

☑️ Chemical, Materials, Mechanical, Environmental engineering

Prof. Fernando Resende:
(Associate Professor and Department Chair of Chemical Engineering at University of Texas at Tyler)

Open Fully Funded MS Positions

We are looking for two motivated graduate students to join our lab in the Jasper Department of Chemical Engineering at the University of Texas at Tyler. The positions will be fully funded (tuition + stipend) for two years. The students will conduct research on the development of 2D microporous materials and molecular sieving membranes for energy and water related applications.

The candidates are expected to have undergraduate research experience, good English communication skills (oral and written) and teamwork spirit. The responsibility of the students includes planning and executing experiments, summarizing data, presenting research outcome as project reports, journal articles and conference talks, and mentoring undergraduate researchers. 
A BS degree in chemical, mechanical, materials, environmental or a related field is required. TOEFL/IELTS and GRE scores are also required. Interested candidates are encouraged to send a combined PDF file including (1) a cover letter, (2) CV, (3) unofficial undergraduate transcripts, (4) TOEFL/IELTS and GRE scores, (5) names and contact information for three references to Dr. Cao (","🇨🇭PhD Position, University of Zurich, Switzerland

☑️ Synthetic Organic Materials

👨‍🏫 Dr. Michal Juríček:

It is still possible to apply for a PhD position with us until June 30. The JuricekLab is ready to grow :)

Apply here: "
"🇺🇸 PhD position, University of Rhode Island, USA

☑️ cyber-physical systems and Internet-of-things, such as electric power grids

One Ph.D. Position Available at the University of Rhode Island (Fall 2023)

I am looking for Ph.D. students (1 position at this moment) as research or teaching assistants to join my group. We will work on interdisciplinary projects to enhance the resiliency of today’s cyber-physical systems and Internet-of-things, such as electric power grids. Students with interests and experiences in areas related to system/network security and reliability, computer networks, and power systems are encouraged to apply. The positions will remain open until filled by qualified candidates.

Qualification:
* B.S. or M.S. degree in computer engineering, electrical engineering, computer science, or closely related areas.
* Strong interest in cybersecurity, cyber-physical systems, and machine learning
* Strong programming skills
• (plus not required) experiences in software-defined networking or P4
• (plus not required) experiences in generative adversarial networks or deep reinforcement learning

Contact information
Please send your C.V., GRE (and TOFE or IELTS scores for foreign students) and transcript or any other questions to Dr. Hui Lin at ","🇺🇸 Postdoc Position, University of Pennsylvania, USA

☑️ ferroelectric thin-films, two-dimensional materials and memory devices

👨🏻‍🏫 Dr. Deep Jariwala:

We are looking to hire an exceptional and motivated postdoctoral scholar in a very exciting and fast-moving area of research. Please see the details below and share with relevant individuals and communities.
 ------------------------------------------------------------------------------
 
The Department of Electrical and Systems Engineering at the University of Pennsylvania is seeking an exceptional Postdoctoral Research candidate for an opening covering the areas of ferroelectric thin-films, two-dimensional materials and memory devices. The position will be supervised jointly by Professor Deep Jariwala and by Professor Troy Olsson. Position is open immediately, with preferred start dates in August or September of 2023. The position includes competitive salary and benefits, has an initial appointment of 1 year, and is renewable. Applicants must have a Ph.D. in Electrical Engineering, Applied Physics, Mechanical Engineering, Material Science or related fields. 
 
Ideal candidates will have significant skill and experience in experimental thin-film deposition, transfer/processing and material characterization. Experience in micro/nanofabrication and electronic charge transport is also desired. Applicant should also have a demonstrated record of scholarly research publications in the above areas.
  
Interested applicants should send a CV (containing a list of publications) and contact information of two references to Prof. Jariwala (","🇺🇲 Master Position,  College of Forestry, Agriculture & Natural Resources, University of Arkansas at Monticello

☑️ Environmental Science, Conservation Biology, Remote Sensing

","🇩🇪 PhD Position, University of Heidelberg, Germany

☑️ Cardiovascular Physiology

","🇨🇦 Postdoctoral Research Fellow Pharmaceutical Sciences - Academic Position - Research - Teaching - UBC - Vancouver - Canada

","🇭🇲 PhD Position, ANU, Australia

☑️ Molecular basis of wheat diseases

👨‍🏫 Dr. Peter Solomon:

My lab and williams_simonj lab have a PhD position available to dissect the molecular basis of wheat diseases. A LARGE stipend top-up and travel budget is available for students with an RTP scholarship (or comparable). Please DM for details.

","🇺🇸 MSc Position, Virginia Tech University, USA

☑️ Geography, Numerical Weather Prediction and/or Tropical Cyclones

Deadline : January 15th, 2023

Join 👉 ","🇨🇭PhD Position, University of Basel, Switzerland

☑️ Chemistry

👨‍🏫 Dr. Jonathan De Roo:

PhD position available in my group from fall 2023. Mechanism-based nanocrystal synthesis. focus is on biocompatible group 4 metal oxides(TiO2, ZrO2, HfO2).  Apply via email with CV and cover letter.
"
